iter	Passed	Remaining
876	7337	1029
877	7349	1021
878	7358	1012
879	7368	1004
880	7380	996
881	7389	988
882	7398	980
883	7407	972
884	7415	963
885	7429	955
886	7438	947
887	7447	939
888	7457	931
889	7465	922
890	7476	914
891	7485	906
892	7494	898
893	7503	889
894	7512	881
895	7521	873
896	7529	864
897	7544	856
898	7553	848
899	7562	840
900	7572	832
901	7583	823
902	7590	815
903	7599	806
904	7606	798
905	7615	790
906	7623	781
907	7631	773
908	7639	764
909	7647	756
910	7654	747
911	7663	739
912	7673	731
913	7682	722
914	7690	714
915	7697	705
916	7704	697
917	7712	688
918	7719	680
919	7727	671
920	7735	663
921	7743	655
922	7750	646
923	7757	638
924	7765	629
925	7772	621
926	7779	612
927	7788	604
928	7795	595
929	7803	587
930	7811	578
931	7818	570
932	7826	562
933	7833	553
934	7841	545
935	7848	536
936	7856	528
937	7864	519
938	7871	511
939	7880	503
940	7888	494
941	7895	486
942	7903	477
943	7911	469
944	7920	460
945	7933	452
946	7944	444
947	7953	436
948	7965	428
949	7976	419
950	7984	411
951	7995	403
952	8006	394
953	8016	386
954	8027	378
955	8038	369
956	8047	361
957	8056	353
958	8066	344
959	8078	336
960	8087	328
961	8095	319
962	8104	311
963	8112	302
964	8120	294
965	8127	286
966	8136	277
967	8143	269
968	8150	260
969	8159	252
970	8168	243
971	8174	235
972	8183	227
973	8190	218
974	8198	210
975	8205	201
976	8214	193
977	8222	184
978	8230	176
979	8237	168
980	8244	159
981	8251	151
982	8259	142
983	8267	134
984	8274	126
985	8282	117
986	8290	109
987	8299	100
988	8307	92
989	8316	84
990	8325	75
991	8334	67
992	8343	58
993	8353	50
994	8363	42
995	8372	33
996	8383	25
997	8391	16
998	8413	8
999	8426	0
